ID,NAME,LAT,LONG,ELEVATION,pcp
1,p-1553003,-15.94,-53.45,597,3
2,p-1554006,-15.989,-54.968,256,0
3,p-1555005,-15.84,-55.32,783,19.3
4,p-1556007,-15.699,-55.136,699,0
5,p-1653002,-16.35,-53.76,482,0
6,p-1653004,-16.94,-53.53,735,0.8
7,p-1653005,-16.67,-53.45,533,0.7
8,p-1654000,-16.471,-54.657,231,14.6
9,p-1654001,-16.674,-54.266,314,5.2
10,p-1654004,-16.843,-54.408,295,32.1
11,p-1654005,-16.391,-54.149,381,12.5
12,p-1754000,-17.21,-54.14,527,0
13,p-83358,-15.8274,-54.3955,374.35,0
14,p-A907,-16.4625,-54.5802,289.88,
